Location	Pincode	State	District
Thaikkattukara	683106	Kerala	Ernakulam
Thalacode	682314	Kerala	Ernakulam
Thalakode	686693	Kerala	Ernakulam
Thammanam	682032	Kerala	Ernakulam
Thathappilly	683520	Kerala	Ernakulam
Thattekkad	686691	Kerala	Ernakulam
Thazhvankunnam	686668	Kerala	Ernakulam
Thekkenmarady	686673	Kerala	Ernakulam
Thekkumbhagom	682301	Kerala	Ernakulam
Thengod	682030	Kerala	Ernakulam
Thevara	682013	Kerala	Ernakulam
Thirumarady	686687	Kerala	Ernakulam
Thirumarayoor	682313	Kerala	Ernakulam
Thiruvamkulam	682305	Kerala	Ernakulam
Thiruvaniyoor	682308	Kerala	Ernakulam
Thoppumpady	682005	Kerala	Ernakulam
Thottakkattukara	683108	Kerala	Ernakulam
Thottumughom	683105	Kerala	Ernakulam
Thrikkakara	682021	Kerala	Ernakulam
Thrikkalathoor	683557	Kerala	Ernakulam
Thrikkariyoor	686692	Kerala	Ernakulam
Thuravoor	683586	Kerala	Ernakulam
Thuravumkara	683575	Kerala	Ernakulam
Thuruthippuram	680667	Kerala	Ernakulam
Thuruthy	683545	Kerala	Ernakulam
Tripunithura	682301	Kerala	Ernakulam
Tripunithura Fort	682301	Kerala	Ernakulam
Udayamperoor	682307	Kerala	Ernakulam
Udyogamandal	683501	Kerala	Ernakulam
Uliyannoor	683108	Kerala	Ernakulam
Union Christian college	683102	Kerala	Ernakulam
Urulanthanni	686691	Kerala	Ernakulam
Vadacode	682021	Kerala	Ernakulam
Vadacode Kailas colony	682021	Kerala	Ernakulam
Vadakkekara	683522	Kerala	Ernakulam
Vadakkumpuram	683521	Kerala	Ernakulam
Vadakode-vazhakulam	686670	Kerala	Ernakulam
Vadattupara	686691	Kerala	Ernakulam
Vadavucode	682310	Kerala	Ernakulam
Vadayampadi	682308	Kerala	Ernakulam
Vaduthala	682023	Kerala	Ernakulam
Vaikkara	683549	Kerala	Ernakulam
Valayanchirangara	683556	Kerala	Ernakulam
Vallarpadam	682031	Kerala	Ernakulam
Vappalassery	683572	Kerala	Ernakulam
Varapetty	686691	Kerala	Ernakulam
Varapuzha	683517	Kerala	Ernakulam
Varapuzha Landing	683517	Kerala	Ernakulam
Varikoli	682308	Kerala	Ernakulam
Vattaparambu	683579	Kerala	Ernakulam
Vazhakulam	686670	Kerala	Ernakulam
Vazhappilly East	686673	Kerala	Ernakulam
Veli Kochi	682001	Kerala	Ernakulam
Veliyanad	682319	Kerala	Ernakulam
Vellarappilly South	683580	Kerala	Ernakulam
Vempilly	683565	Kerala	Ernakulam
Vengola	683554	Kerala	Ernakulam
Vengola West	683556	Kerala	Ernakulam
Vengoor	683546	Kerala	Ernakulam
Vennala	682028	Kerala	Ernakulam
Vettampara	686691	Kerala	Ernakulam
Vettickal	682314	Kerala	Ernakulam
Vilangu	683561	Kerala	Ernakulam
Vyttila	682019	Kerala	Ernakulam
West Kadungalloor	683110	Kerala	Ernakulam
West Veliyathunad	683511	Kerala	Ernakulam
Willingdon Island	682003	Kerala	Ernakulam
Yordhanapuram	683574	Kerala	Ernakulam
Adimali	685561	Kerala	Idukki
Adoormala	685590	Kerala	Idukki
Alakode	685588	Kerala	Idukki
Alpara	685606	Kerala	Idukki
Amaravathy	685509	Kerala	Idukki
Anakkara	685512	Kerala	Idukki
Anakulam	685565	Kerala	Idukki
Anavilasam	685535	Kerala	Idukki
Anaviratty	685561	Kerala	Idukki
Anayirankal	685613	Kerala	Idukki
Anchiri	685585	Kerala	Idukki
Anniyartholu	685515	Kerala	Idukki
Arakulam	685591	Kerala	Idukki
Arikuzha	685584	Kerala	Idukki
Arnakal	685533	Kerala	Idukki
Aruvilanchal	685619	Kerala	Idukki
Attapallam	685509	Kerala	Idukki
Ayyappancoil	685507	Kerala	Idukki
Balagram	685552	Kerala	Idukki
Bethel	685510	Kerala	Idukki
Bisonvalley	685565	Kerala	Idukki
C. kuthumkal	685566	Kerala	Idukki
Calvari Mount	685515	Kerala	Idukki
Chakkupallam	685509	Kerala	Idukki
Chathurangapara	685554	Kerala	Idukki
Chattamannar	685614	Kerala	Idukki
Cheenikuzhi	685581	Kerala	Idukki
Cheenthalar	685502	Kerala	Idukki
Chelachuvadu	685606	Kerala	Idukki
Chellarcoil	685509	Kerala	Idukki
Chembalam	685553	Kerala	Idukki
Chemmannar	685554	Kerala	Idukki
Chempakapara	685510	Kerala	Idukki
Chenkara	685539	Kerala	Idukki
Cheppukulam	685581	Kerala	Idukki
Chilavu	685588	Kerala	Idukki
Chinnakanal	685618	Kerala	Idukki
Chinnar	685501	Kerala	Idukki
Chithirapuram	685565	Kerala	Idukki
Chottupara	685552	Kerala	Idukki
Chottupara Periyar	685533	Kerala	Idukki
Combayar	685552	Kerala	Idukki
Cumbumbettu	685551	Kerala	Idukki
Devarupara	685588	Kerala	Idukki
Devikulam	685613	Kerala	Idukki
Dymock	685533	Kerala	Idukki
Edad-idukki	685589	Kerala	Idukki
Edavetty	685588	Kerala	Idukki
Elamdesom	685588	Kerala	Idukki
Elappara	685501	Kerala	Idukki
Ellakallu	685565	Kerala	Idukki
Ellapatti	685615	Kerala	Idukki
Ellumpuram	685587	Kerala	Idukki
Erattayar	685514	Kerala	Idukki
Erattayar North	685510	Kerala	Idukki
Ettithope	685510	Kerala	Idukki
Ezhallur	685605	Kerala	Idukki
Ezhukunvayal	685553	Kerala	Idukki
Ezhumuttom	685605	Kerala	Idukki
Fair Field	685501	Kerala	Idukki
Glenmary	685531	Kerala	Idukki
Gramby	685533	Kerala	Idukki
Gudarle	685612	Kerala	Idukki
Haileyburia	685501	Kerala	Idukki
Idinjamala	685510	Kerala	Idukki
Idukki Colony	685602	Kerala	Idukki
Idukki Painavu	685603	Kerala	Idukki
Ilappally	685589	Kerala	Idukki
Josegiri	685565	Kerala	Idukki
Kadamakuzhy	685515	Kerala	Idukki
Kailasanadu	685553	Kerala	Idukki
Kalayanthani	685588	Kerala	Idukki
Kaliyar	685582	Kerala	Idukki
Kallar	685552	Kerala	Idukki
Kallarkutty	685562	Kerala	Idukki
Kaloor East	685584	Kerala	Idukki
Kalthotty	685507	Kerala	Idukki
Kamakshy	685515	Kerala	Idukki
Kanayankavayal	685532	Kerala	Idukki
Kanchiyar	685511	Kerala	Idukki
Kanjar	685592	Kerala	Idukki
Kanjikuzhi - idukki	685606	Kerala	Idukki
Kannickal	685589	Kerala	Idukki
Kanthallur	685620	Kerala	Idukki
Karadikuzhy	685531	Kerala	Idukki
Karimannoor	685581	Kerala	Idukki
Karimkulam Chappath	685506	Kerala	Idukki
Karimkunnam	685586	Kerala	Idukki
Karippalangad	685601	Kerala	Idukki
Karunapuram	685552	Kerala	Idukki
Kattappana	685508	Kerala	Idukki
Kattappana South	685515	Kerala	Idukki
Keerikara	685533	Kerala	Idukki
Keerithode	685606	Kerala	Idukki
Khajanapara	685619	Kerala	Idukki
Kochara	685551	Kerala	Idukki
Kochukarimtharuvi	685501	Kerala	Idukki
Kochuthovala	685510	Kerala	Idukki
Kodikulam	685582	Kerala	Idukki
Koduveli	685582	Kerala	Idukki
Kolahalamedu	685501	Kerala	Idukki
Kolani	685584	Kerala	Idukki
Konnackamali	685604	Kerala	Idukki
Konnathady	685563	Kerala	Idukki
Koompanpara	685561	Kerala	Idukki
Koottar	685552	Kerala	Idukki
Koovakandam	685588	Kerala	Idukki
Koovappally-kudayathur	685590	Kerala	Idukki
Korangatti	685561	Kerala	Idukki
Kottakomboor	685615	Kerala	Idukki
Kottamala	685503	Kerala	Idukki
Koviloor	685615	Kerala	Idukki
Kudayathur	685590	Kerala	Idukki
Kulamavu	685601	Kerala	Idukki
Kulaparachal	685619	Kerala	Idukki
Kumaramangala	685584	Kerala	Idukki
Kumily	685509	Kerala	Idukki
Kunchithanni	685565	Kerala	Idukki
Kuninji	685583	Kerala	Idukki
Kuppakkayam	686513	Kerala	Idukki
Kuttikanam	685531	Kerala	Idukki
Kuzhithozhu	685551	Kerala	Idukki
Lakshmi Coil	685531	Kerala	Idukki
Lonetree	685505	Kerala	Idukki
Machiplavu	685561	Kerala	Idukki
Mailacombu	685584	Kerala	Idukki
Malayinchi	685581	Kerala	Idukki
Mali	685551	Kerala	Idukki
Mammattikanam	685566	Kerala	Idukki
Manakkad	685584	Kerala	Idukki
Manipara	685602	Kerala	Idukki
Maniyaramkudy	685602	Kerala	Idukki
Manjappara	685553	Kerala	Idukki
Mankulam	685565	Kerala	Idukki
Mankuva	685604	Kerala	Idukki
Mannamkandam	685561	Kerala	Idukki
Maraiyur	685620	Kerala	Idukki
Marigiri	685515	Kerala	Idukki
Mariyapuram	685602	Kerala	Idukki
Mathaipara	685505	Kerala	Idukki
Mattupatty Isp	685616	Kerala	Idukki
Mattuppatti	685616	Kerala	Idukki
Mattuthavalam	685505	Kerala	Idukki
Mavady	685553	Kerala	Idukki
Meencut	685565	Kerala	Idukki
Melekuppachampady	685510	Kerala	Idukki
Meloram	685532	Kerala	Idukki
Michaelgiri	685620	Kerala	Idukki
Moolakad	685581	Kerala	Idukki
Moolamattom	685589	Kerala	Idukki
Moolamattom East	685589	Kerala	Idukki
Moongalar	685533	Kerala	Idukki
Mount	685533	Kerala	Idukki
Mrala	685587	Kerala	Idukki
Mukkudil	685566	Kerala	Idukki
Mukkulam	686514	Kerala	Idukki
Mukkulam East	686514	Kerala	Idukki
Mulakaramedu	685515	Kerala	Idukki
Mulakuvally	685602	Kerala	Idukki
Mulappuram	685581	Kerala	Idukki
Mullarikudy	685564	Kerala	Idukki
Mullaringadu	685582	Kerala	Idukki
Mundakayam East	686513	Kerala	Idukki
Mundanmudy	685582	Kerala	Idukki
Muniyara	685564	Kerala	Idukki
Munnar	685612	Kerala	Idukki
Munnar Colony	685612	Kerala	Idukki
Murickassery	685604	Kerala	Idukki
Murinjapuzha	685532	Kerala	Idukki
Murukady	685535	Kerala	Idukki
Muthalakodam	685605	Kerala	Idukki
Muttom Ek	685587	Kerala	Idukki
N R city	685566	Kerala	Idukki
Narakakanam	685602	Kerala	Idukki
Nariampara	685511	Kerala	Idukki
Nayarupara	685602	Kerala	Idukki
Nediyasala	685584	Kerala	Idukki
Nedumkandam	685553	Kerala	Idukki
Nellipara	685515	Kerala	Idukki
Nettithozhu	685551	Kerala	Idukki
Neyyassery	685581	Kerala	Idukki
Ottalloor	685586	Kerala	Idukki
Pachady	685553	Kerala	Idukki
Pachakanam	685533	Kerala	Idukki
Padamugham	685604	Kerala	Idukki
Padicap	685561	Kerala	Idukki
Pallikunnu	685531	Kerala	Idukki
Pallivasal	685565	Kerala	Idukki
Pallivasal Estate	685612	Kerala	Idukki
Paloorkavu	685532	Kerala	Idukki
Paloorkavu Central	685532	Kerala	Idukki
Pambanar	685537	Kerala	Idukki
Pampadumpara	685556	Kerala	Idukki
Pampupara	685551	Kerala	Idukki
Panamkutty	685562	Kerala	Idukki
Pandipara	685515	Kerala	Idukki
Panickankudy	685564	Kerala	Idukki
Panniar Estate	685621	Kerala	Idukki
Pannimattom	685588	Kerala	Idukki
Pannoor	685581	Kerala	Idukki
Parapuzha	685582	Kerala	Idukki
Parathode	685571	Kerala	Idukki
Pasupara	685502	Kerala	Idukki
Pathippally	685589	Kerala	Idukki
Pazhayarikandam	685606	Kerala	Idukki
Peermade	685531	Kerala	Idukki
Perinchankutty	685604	Kerala	Idukki
Peringassery	685581	Kerala	Idukki
Periyar Lake	685536	Kerala	Idukki
Perumpillichira	685605	Kerala	Idukki
Perumthotty	685515	Kerala	Idukki
Peruvanthanam	685532	Kerala	Idukki
Pethotty	685619	Kerala	Idukki
Pius Nagar	685620	Kerala	Idukki
Ponmudi	685564	Kerala	Idukki
Poopara	685619	Kerala	Idukki
Pottenkad	685569	Kerala	Idukki
Prakash	685515	Kerala	Idukki
Pulickathotty	685582	Kerala	Idukki
Puliyanmala	685515	Kerala	Idukki
Pullikkanam	685503	Kerala	Idukki
Purapuzha	685583	Kerala	Idukki
Pushpakandam	685552	Kerala	Idukki
Puthady	685619	Kerala	Idukki
Puttady	685551	Kerala	Idukki
Rajakad	685566	Kerala	Idukki
Rajakandam	685551	Kerala	Idukki
Rajakumari	685619	Kerala	Idukki
Rajakumari South	685619	Kerala	Idukki
Rajamudi	685604	Kerala	Idukki
Rajapuram	685604	Kerala	Idukki
Ramakkal Mettu	685552	Kerala	Idukki
S P puram	685617	Kerala	Idukki
Sahayagiri	685620	Kerala	Idukki
Sanniasioda	685552	Kerala	Idukki
Santhanpara	685619	Kerala	Idukki
Santhigram	685510	Kerala	Idukki
Sasthanoda	685535	Kerala	Idukki
Selliampara	685563	Kerala	Idukki
Senapathy	685619	Kerala	Idukki
Sengulam	685565	Kerala	Idukki
Sinkukandam	685618	Kerala	Idukki
South Kathipara	685562	Kerala	Idukki
Springvalley	685509	Kerala	Idukki
Surianalle	685618	Kerala	Idukki
Talliar	685614	Kerala	Idukki
Thadiampadu	685602	Kerala	Idukki
Thankamony	685515	Kerala	Idukki
Thattakuzha	685581	Kerala	Idukki
Thattarathatta	685586	Kerala	Idukki
Thattekanni	685606	Kerala	Idukki
Thekkady	685536	Kerala	Idukki
Thekkumbhagam	685585	Kerala	Idukki
Thengakal	685538	Kerala	Idukki
Thodupuzha	685584	Kerala	Idukki
Thodupuzha -puthuperiyaram	685584	Kerala	Idukki
Thodupuzha Bazar	685584	Kerala	Idukki
Thodupuzha East	685585	Kerala	Idukki
Thodupuzha North	685584	Kerala	Idukki
Thokkupara	685565	Kerala	Idukki
Thommankuthu	685581	Kerala	Idukki
Thoppipala	685511	Kerala	Idukki
Thopramkduy	685515	Kerala	Idukki
Thovarayar	685511	Kerala	Idukki
Thudanganad	685587	Kerala	Idukki
Udumbanchola	685554	Kerala	Idukki
Udumbannur	685595	Kerala	Idukki
Uppukandam	685510	Kerala	Idukki
Upputhara	685505	Kerala	Idukki
Upputhode	685604	Kerala	Idukki
Vadakkummury	685586	Kerala	Idukki
Vagamon	685503	Kerala	Idukki
Valara	685561	Kerala	Idukki
Valiyathovala	685510	Kerala	Idukki
Vallakadavu Periyar	685533	Kerala	Idukki
Vandamattom	685582	Kerala	Idukki
Vandanmettu	685551	Kerala	Idukki
Vandiperiyar	685533	Kerala	Idukki
Vannapuram	685582	Kerala	Idukki
Vattappara (ubc)	685619	Kerala	Idukki
Vattiar	685611	Kerala	Idukki
Vazhavara	685515	Kerala	Idukki
Vazhithala	685583	Kerala	Idukki
Vellaramkunnu	685535	Kerala	Idukki
Vellathooval	685563	Kerala	Idukki
Vellayamkudy	685515	Kerala	Idukki
Velliyamattom	685588	Kerala	Idukki
Vengallur	685584	Kerala	Idukki
Venmony	685606	Kerala	Idukki
Vimalagiri	685602	Kerala	Idukki
Wallardie	685533	Kerala	Idukki
Wembly	686514	Kerala	Idukki
West Kodikulam	685582	Kerala	Idukki
Alacherry	670650	Kerala	Kannur
Alakode	670571	Kerala	Kannur
Alakode-kuttaramba	670571	Kerala	Kannur
Alavil	670008	Kerala	Kannur
Ambayathode	670651	Kerala	Kannur
Ambilat	670701	Kerala	Kannur
Anchampeedika	670331	Kerala	Kannur
Angadikadavu	670706	Kerala	Kannur
Aniyaram	670672	Kerala	Kannur
Anjarakandy	670612	Kerala	Kannur
Annur	670332	Kerala	Kannur
Arabi	670705	Kerala	Kannur
Aralam	670704	Kerala	Kannur
Aralam Farm	670673	Kerala	Kannur
Arang	670582	Kerala	Kannur
Aravanchal	670307	Kerala	Kannur
Areekamala	670582	Kerala	Kannur
Aril	670143	Kerala	Kannur
Arivilanjapoyil	670571	Kerala	Kannur
Aroli	670566	Kerala	Kannur
Atakkathode	670674	Kerala	Kannur
Attadappa	670006	Kerala	Kannur
Ayithara Mambram	670643	Kerala	Kannur
Azhikkal	670009	Kerala	Kannur
Azhikode	670009	Kerala	Kannur
Azhikode South	670009	Kerala	Kannur
Bavode	670622	Kerala	Kannur
Burnacherry	670013	Kerala	Kannur
Chala East	670621	Kerala	Kannur
Chalad	670014	Kerala	Kannur
Chalakkode	670307	Kerala	Kannur
Chalil	670102	Kerala	Kannur
Chamathachal	670633	Kerala	Kannur
Champad	670694	Kerala	Kannur
Chandanakampara	670633	Kerala	Kannur
Charal	670706	Kerala	Kannur
Chattuvapara	670592	Kerala	Kannur
Chavasseri	670702	Kerala	Kannur
Chekkikulam	670592	Kerala	Kannur
Cheleri	670604	Kerala	Kannur
Chempanthotty	670631	Kerala	Kannur
Chemperi	670632	Kerala	Kannur
Chendayad	670692	Kerala	Kannur
Chengalayi	670631	Kerala	Kannur
Chepparapadava	670581	Kerala	Kannur
Cherakkara	670104	Kerala	Kannur
Cherikode	670631	Kerala	Kannur
Cherukun R.s.	670301	Kerala	Kannur
Cherukunnu	670301	Kerala	Kannur
Cheruparamba	670693	Kerala	Kannur
Cherupazhassi	670601	Kerala	Kannur
Cherupuzha	670511	Kerala	Kannur
Cheruvancheri	670650	Kerala	Kannur
Chettiamparamba	670674	Kerala	Kannur
Chirakk R.s.	670011	Kerala	Kannur
Chirakkal	670011	Kerala	Kannur
Chithapilapoyil	670502	Kerala	Kannur
Chittariparamba	670650	Kerala	Kannur
Chittodi	670571	Kerala	Kannur
Chokli	670672	Kerala	Kannur
Chovva	670006	Kerala	Kannur
Chunda	670511	Kerala	Kannur
Chundakunnu	670632	Kerala	Kannur
Chunkakunnu	670651	Kerala	Kannur
Chuzhali	670631	Kerala	Kannur
Civil Station kannur	670002	Kerala	Kannur
Dharmadam	670106	Kerala	Kannur
Eachur	670591	Kerala	Kannur
Edakkom	670581	Kerala	Kannur
Edapuzha	670704	Kerala	Kannur
Edat	670327	Kerala	Kannur
Edavaramba	670511	Kerala	Kannur
Edayannur	670595	Kerala	Kannur
Elampara	670595	Kerala	Kannur
Elangot	670692	Kerala	Kannur
Eramam Desom	670307	Kerala	Kannur
Eranholi	670107	Kerala	Kannur
Eriam	670306	Kerala	Kannur
Eruvassi	670632	Kerala	Kannur
Eruvatty	670647	Kerala	Kannur
Eruvatty-chapparapadava	670581	Kerala	Kannur
Etakkad	670663	Kerala	Kannur
Ettikulam	670308	Kerala	Kannur
Ettukudukka	670521	Kerala	Kannur
Ezhilode	670309	Kerala	Kannur
Ezhome	670334	Kerala	Kannur
Irinavu	670301	Kerala	Kannur
Iritty	670703	Kerala	Kannur
Iriveri	670614	Kerala	Kannur
Irukkur	670593	Kerala	Kannur
Josegiri	670511	Kerala	Kannur
Kacherikadavu	670706	Kerala	Kannur
Kadachira	670621	Kerala	Kannur
Kadambur-kannur	670663	Kerala	Kannur
Kadannapally	670501	Kerala	Kannur
Kadavathur	670676	Kerala	Kannur
Kadirur-tly	670642	Kerala	Kannur
Kadumeni	670511	Kerala	Kannur
Kaithapram	670631	Kerala	Kannur
Kakkara	670306	Kerala	Kannur
Kakkat	670005	Kerala	Kannur
Kakkengad	670673	Kerala	Kannur
Kalanki	670705	Kerala	Kannur
Kalliad	670593	Kerala	Kannur
Kalliasseri	670562	Kerala	Kannur
Kallikandy	670693	Kerala	Kannur
Kalluvayal	670703	Kerala	Kannur
Kamballur	670511	Kerala	Kannur
Kanamvayal	670511	Kerala	Kannur
Kanayi	670307	Kerala	Kannur
Kandakai	670602	Kerala	Kannur
Kandankali	670333	Kerala	Kannur
Kandoth	670307	Kerala	Kannur
Kanhileri	670702	Kerala	Kannur
Kanhirangad	670142	Kerala	Kannur
Kanhirode	670592	Kerala	Kannur
Kanichar	670674	Kerala	Kannur
Kanjirakolly	670633	Kerala	Kannur
Kankol	670337	Kerala	Kannur
Kannadiparamba	670604	Kerala	Kannur
Kannavam Colony	670650	Kerala	Kannur
Kannivayal	670511	Kerala	Kannur
Kannookara	670012	Kerala	Kannur
Kannoth	670650	Kerala	Kannur
Kannur	670001	Kerala	Kannur
Kannur City	670003	Kerala	Kannur
Kannur District hospital	670017	Kerala	Kannur
Kannur Railway station	670001	Kerala	Kannur
Kannur Thana	670012	Kerala	Kannur
Kannur University campus	670567	Kerala	Kannur
Kanul	670564	Kerala	Kannur
Kappad	670006	Kerala	Kannur
Kara- Peravoor	670702	Kerala	Kannur
Karanthat	670308	Kerala	Kannur
Karimbam	670142	Kerala	Kannur
Karippal	670581	Kerala	Kannur
Karivellur	670521	Kerala	Kannur
Kariyad South	673316	Kerala	Kannur
Karthikapuram	670571	Kerala	Kannur
Karuvanchal	670571	Kerala	Kannur
Katalayi	670007	Kerala	Kannur
Kattampally	670015	Kerala	Kannur
Kavumbhagam	670110	Kerala	Kannur
Kavvayi	670339	Kerala	Kannur
Kayalampara	670632	Kerala	Kannur
Kayani	670702	Kerala	Kannur
Kayaralam	670602	Kerala	Kannur
Keecheri	670702	Kerala	Kannur
Keezhara	670301	Kerala	Kannur
Keezhpalli	670704	Kerala	Kannur
Keezhur-iritty	670703	Kerala	Kannur
Kelakam	670674	Kerala	Kannur
Kezhallur	670612	Kerala	Kannur
Kidanhi	670675	Kerala	Kannur
Kiliyanthara	670706	Kerala	Kannur
Kizhakke Kadirur	670642	Kerala	Kannur
Kizhunna	670007	Kerala	Kannur
Kokkanisseri	670307	Kerala	Kannur
Kolacherry	670601	Kerala	Kannur
Kolakkad	670673	Kerala	Kannur
Kolari	670702	Kerala	Kannur
Kolayad	670650	Kerala	Kannur
Kolithattu	670706	Kerala	Kannur
Koodali	670592	Kerala	Kannur
Koomanthode	670704	Kerala	Kannur
Koorara	670694	Kerala	Kannur
Koottupuzha	670706	Kerala	Kannur
Kootumugham	670631	Kerala	Kannur
Kooveri	670581	Kerala	Kannur
Korom	670307	Kerala	Kannur
Kottali	670016	Kerala	Kannur
Kottayad	670571	Kerala	Kannur
Kottayam Malabar	670643	Kerala	Kannur
Kottayampoil	670691	Kerala	Kannur
Kottila	670334	Kerala	Kannur
Kottiyur	670651	Kerala	Kannur
Kovvapuram	670309	Kerala	Kannur
Koyyam	670142	Kerala	Kannur
Koyyode	670621	Kerala	Kannur
Kozhichal	670511	Kerala	Kannur
Kozhummal	670522	Kerala	Kannur
Kudiyanmala	670582	Kerala	Kannur
Kunhimangalam	670309	Kerala	Kannur
Kuniyampuzha	670632	Kerala	Kannur
Kuppam-taliparamba	670144	Kerala	Kannur
Kurichiyil	670102	Kerala	Kannur
Kurumathur	670142	Kerala	Kannur
Kusavanvayal	670593	Kerala	Kannur
Kuthuparamba	670643	Kerala	Kannur
Kuttikkakam	670663	Kerala	Kannur
Kuttikol	670141	Kerala	Kannur
Kuttiyattur	670602	Kerala	Kannur
Kuttiyeri	670141	Kerala	Kannur
Kuttur	670306	Kerala	Kannur
Madathil	670703	Kerala	Kannur
Madayi	670304	Kerala	Kannur
Makreri	670622	Kerala	Kannur
Malapattam	670631	Kerala	Kannur
Malayampadi	670674	Kerala	Kannur
Mallannur	670701	Kerala	Kannur
Malur	670702	Kerala	Kannur
Mamba	670611	Kerala	Kannur
Mambram	670741	Kerala	Kannur
Manakadavu	670571	Kerala	Kannur
Manantheri	670643	Kerala	Kannur
Manathana	670677	Kerala	Kannur
Mandalam	670582	Kerala	Kannur
Mandur-kannur	670501	Kerala	Kannur
Mangattidam	670643	Kerala	Kannur
Manikkadavu	670705	Kerala	Kannur
Manippara	670705	Kerala	Kannur
Mathamangalam	670306	Kerala	Kannur
Mathamangalam Bazar	670306	Kerala	Kannur
Mathil	670343	Kerala	Kannur
Mattannur	670702	Kerala	Kannur
Mattanur College	670702	Kerala	Kannur
Mattul	670302	Kerala	Kannur
Mattul North	670325	Kerala	Kannur
Mavilayi	670622	Kerala	Kannur
Mayyil	670602	Kerala	Kannur
Mekkunnu	670675	Kerala	Kannur
Melmuringodi	670673	Kerala	Kannur
Melur-tly	670661	Kerala	Kannur
Mokeri	670692	Kerala	Kannur
Mooriyad	670643	Kerala	Kannur
Moozhikkara	670103	Kerala	Kannur
Morazha	670331	Kerala	Kannur
Mottammal	670331	Kerala	Kannur
Mowancheri	670613	Kerala	Kannur
Mudiyanga	670691	Kerala	Kannur
Mullakodi	670602	Kerala	Kannur
Mundalur	670622	Kerala	Kannur
Mundayad	670597	Kerala	Kannur
Mundayamparamba	670704	Kerala	Kannur
Munderi	670591	Kerala	Kannur
Muringeri	670612	Kerala	Kannur
Muyyam	670142	Kerala	Kannur
Muzhakunnu	670673	Kerala	Kannur
Muzhappala	670611	Kerala	Kannur
Muzhappilangad	670662	Kerala	Kannur
Naduvanad	670702	Kerala	Kannur
Naduvil	670582	Kerala	Kannur
Nanichery	670563	Kerala	Kannur
Narath	670603	Kerala	Kannur
Nareekamvally	670501	Kerala	Kannur
Narikkodmala	670693	Kerala	Kannur
Nediyenga	670631	Kerala	Kannur
Nedumpoil	670650	Kerala	Kannur
Nedungome	670631	Kerala	Kannur
Neerveli	670701	Kerala	Kannur
Nellikutty	670632	Kerala	Kannur
Nellipara	670571	Kerala	Kannur
Nettur	670105	Kerala	Kannur
New Mahe	673311	Kerala	Kannur
Nhekly	670307	Kerala	Kannur
Nirmalagiri	670701	Kerala	Kannur
Nuchiyad	670705	Kerala	Kannur
Olavilam	673313	Kerala	Kannur
Olayampadi	670306	Kerala	Kannur
Othayammadam	670301	Kerala	Kannur
Ottathai	670571	Kerala	Kannur
Pachapoika	670643	Kerala	Kannur
Padappangad	670581	Kerala	Kannur
Padiotchal	670307	Kerala	Kannur
Padiyur-kannur	670703	Kerala	Kannur
Palakkode	670305	Kerala	Kannur
Palaparamba	670701	Kerala	Kannur
Palavayal	670511	Kerala	Kannur
Palayad	670661	Kerala	Kannur
Pallikunnu	670004	Kerala	Kannur
Pallivayal	670142	Kerala	Kannur
Panapuzha	670306	Kerala	Kannur
Panniyannur	670679	Kerala	Kannur
Panniyur	670142	Kerala	Kannur
Panoor	670692	Kerala	Kannur
Pappinisseri	670561	Kerala	Kannur
Pappinisseri West	670565	Kerala	Kannur
Paral	670671	Kerala	Kannur
Parapram	670741	Kerala	Kannur
Parassinikadavu	670563	Kerala	Kannur
Parikkalam	670705	Kerala	Kannur
Pariyaram Medical college	670503	Kerala	Kannur
Pariyaram-kannur	670502	Kerala	Kannur
Pathampara	670571	Kerala	Kannur
Pathayakunnu	670691	Kerala	Kannur
Pathiriyad	670741	Kerala	Kannur
Pattanur	670595	Kerala	Kannur
Pattuvam	670143	Kerala	Kannur
Pavanoormotta	670602	Kerala	Kannur
Payam	670704	Kerala	Kannur
Payam East	670704	Kerala	Kannur
Payangadi	670303	Kerala	Kannur
Payangadi R s	670358	Kerala	Kannur
Payyambalam	670001	Kerala	Kannur
Payyan R.s.	670307	Kerala	Kannur
Payyanur	670307	Kerala	Kannur
Payyavur	670633	Kerala	Kannur
Pazhassikari	670633	Kerala	Kannur
Pazhassiraja Nagar	670702	Kerala	Kannur
Peravoor	670673	Kerala	Kannur
Peringadi	673312	Kerala	Kannur
Peringathur	670675	Kerala	Kannur
Peringome	670354	Kerala	Kannur
Perinkeri	670706	Kerala	Kannur
Perumpunna	670673	Kerala	Kannur
Perundattil	670107	Kerala	Kannur
Peruva	670650	Kerala	Kannur
Peruvalathuparamba	670593	Kerala	Kannur
Pilathara	670501	Kerala	Kannur
Pinarayi	670741	Kerala	Kannur
Poduvachery	670621	Kerala	Kannur
Ponniam	670641	Kerala	Kannur
Ponniam West	670641	Kerala	Kannur
Poolakutty	670650	Kerala	Kannur
Porakunnu	670306	Kerala	Kannur
Porora	670702	Kerala	Kannur
Pottampilavu	670582	Kerala	Kannur
Poyilur	670693	Kerala	Kannur
Prapoyil	670511	Kerala	Kannur
Pukkot-kba	670691	Kerala	Kannur
Pulikurumba	670582	Kerala	Kannur
Puliyanambram	670675	Kerala	Kannur
Pullookkara	670678	Kerala	Kannur
Punnad	670703	Kerala	Kannur
Punnol	670102	Kerala	Kannur
Puthur-panoor	670692	Kerala	Kannur
Ramanthali	670308	Kerala	Kannur
